track_id,rows,genres
08kTa3SL9sV6Iy8KLKtGql,7,7
08mG3Y1vljYA6bvDt4Wqkj,2,2
08nbKZTgrxdObcdVFVX6W2,2,2
08qoblFscVKk1tZnRSqPlh,2,2
08r5VYVdopPXFZvCkh5urw,3,3
08sG2g0YeDWAPgPnBFQuoo,2,2
08v1j4Hmy6uSiwXOnM5otQ,3,3
08ypS6EF8F13l8EUa5I2J4,2,2
091NiGWv2nTM8pnOEXZR6T,2,2
095guSCGTmugqLwBwlHZH7,3,3
095nyFKlTwa9JIp9cVrHOF,2,2
0984nSnkRCEdjAXiig3rOH,3,3
098WwIoAtjDQwcpuEHAlrr,2,2
09AvsbivV1FQBRAEBJh7UL,4,4
09FYielISRGvCiJVplF81B,4,4
09H6mPuaTuvuloAJCEKvgA,2,2
09HBvmj0dUeQYHGbKJefR5,2,2
09II5TycDPhVEQ5rwmFzCs,2,2
09IStsImFySgyp0pIQdqAc,6,6
09ImKoCeK6cYsEJ8zMwGn7,3,3
09KVvb0849JV9TRFpTiY0l,3,3
09OfKHEB6AK8tDvcb9T6oN,2,2
09PXdHV9UTx8IdyC5RNyC8,2,2
09SsT6U26aWDG3VeiZUA4e,3,3
09YadcHsZw8nEmJhB7SDrw,2,2
09cgbbadzZSKFd1hGN23p5,2,2
09dwCB0a9GrvSZloCCXqq3,3,3
09iCpaYbvahbcxv8GR0BfS,2,2
09l5WCAnOB6puLBjglf8yf,2,2
09lmsWO6rI8K2FBX8qVM6q,2,2
09ozFHrTL7cI5pYLJWuB2Y,4,4
09pIqulR7CrEjcgEuHz85N,2,2
09vdbE9riiqUAnS8RNSZ0z,2,2
09x9v1o51dbqi5H0u7UGfp,2,2
0A1YzVVPWJorKnLSV7DTuF,2,2
0A1y3d5O3SDvXaQ8snkmOf,2,2
0A2fX1kBVpevzGnMjx5fnX,4,4
0A2nt7MC3sipIRZ0D1jhZg,4,4
0A3hi4R0OZhvukBOrJhesu,3,3
0A43Vnq27Uy8Rnin8E5e4Y,2,2
0A4Xb4Io50uHnHZ1V8x2KC,2,2
0A5gdlrpAuQqZ2iFgnqBFW,2,2
0A5mmNP2Lk8mfCJjWWQvz7,2,2
0A60DIXd4RoIB6l25wFgo5,2,2
0ACw7rdJl9O8XGKKijCAik,2,2
0ADG9OgdVTL7fgREP75BrZ,4,4
0ADZ5dmXhlfzjMw6lefoPl,4,4
0AFlaSWOyEUJ9vrPynu1Ur,2,2
0AISJtBDtZXgB2fuvcjQEN,2,2
0AJrAnMeFDG04VHuuvrC9Y,2,2
0AKy9Gcrl0g3cQynsvlBM6,2,2
0AOmbw8AwDnwXhHC3OhdVB,4,4
0AQ1twwDGVlIVpcHDkGkXD,2,2
0ASYYaJ8RMrZ7N44KMEJr8,2,2
0AT08pe7CNV34sDKmTyh5b,2,2
0ATgXupGnDl3MYIUC8MpfS,3,3
0AUf5eIgz3Lxww4BRzhM4J,4,4
0AUyNF6iFxMNQsNx2nhtrw,3,3
0AcJ0eQfYYP9cLy2dMop1R,2,2
0AcjYkz8h6XhmASAoaHgBY,2,2
0AdoWBdFJUL5ejRBGFAAwq,2,2
0AfliGtmybmdEdHzQ1pfpJ,2,2
0Aga4eaLjpLVESrOjkaoY0,2,2
0Ai1Gi2DBSaTKpKB9HDVKi,2,2
0Ai5lxcQ7WfxLtZn6h9PG1,2,2
0Ai604igwEqoW2CUzQwF0y,2,2
0AjcdGri5vhJsmZnduCEqd,2,2
0Ant6wBzTsOcH63OgzmaXU,2,2
0AoSsEotQdgFalXKUuwv3y,3,3
0ApX0DRPyXJflR03xkN4JK,2,2
0Ar3Yw2YygQrxNOSRf8Wlc,2,1
0Au15HOsloAV2EeSyEqWtA,2,2
0AzFuoLpUvehCep7QZNLzj,3,3
0AzezC2xzQy50q7L3g11aU,2,2
0B0QWG9lUoek1Fy9xji0tl,2,2
